,value,value,value
quantile,0.025,0.5,0.975
target_end_date,,,
2021-07-10,965.6067488898717,1434.9008617916265,2674.896540812614
2021-07-17,963.1185410222563,1388.4164678735058,2716.6958053957183
2021-07-24,955.6178920488368,1628.5488392413247,2894.1
2021-07-31,882.4819445840628,1601.6741691039172,2751.2661917798328
2021-08-07,888.1004990058024,1940.3060605990106,3684.824776941795
2021-08-14,938.6223029629386,2047.9218004633121,5552.424059055405
2021-08-21,1016.272670368616,1966.0327949846148,7255.856048595487
2021-08-28,1021.5932470327186,2325.7978247142582,8806.952392695788
2021-09-04,816.9816143273944,2875.3638708891967,10696.876241880474
2021-09-11,856.702477390969,3483.2426484248804,13480.232075891998
2021-09-18,922.7181055848923,3988.135753499341,16642.822787815734
2021-09-25,944.3404084999016,4681.811134697429,19988.597171974936
2021-10-02,937.5583400119659,5281.086082096032,23436.685377751128
2021-10-09,965.2514340782546,5676.720201540686,26804.81090020462
2021-10-16,947.5885115134976,5948.714650078658,29571.518115609848
2021-10-23,931.795427469682,5897.669705709997,31690.924021602565
2021-10-30,932.0528105078224,5542.5567461529945,29767.66367584489
2021-11-06,929.8474536752016,5163.7762013227175,27627.297920596582
2021-11-13,917.7154891614546,4660.509457333368,25085.15984848036
2021-11-20,914.885004945774,4230.2864087098515,22879.041020788492
2021-11-27,904.0962093492418,3740.788079759123,21335.37262764337
2021-12-04,876.2264456776205,3134.10731109482,20237.898216669368
2021-12-11,712.6261192434862,2735.1801678421834,19544.217117422184
2021-12-18,501.9406020371747,2524.081106360044,18789.58052953241
2021-12-25,335.07238352398724,2300.5427748285792,19089.383449999994
2022-01-01,237.49458292066777,2081.4663133462927,19582.999050000006
